from,to,time_step,flow
GER,NED,824,5000.0
GER,NED,825,-5000.0
GER,NED,826,-5000.0
GER,NED,827,-5000.0
GER,NED,828,-5000.0
GER,NED,829,-5000.0
GER,NED,830,-5000.0
GER,NED,831,-5000.0
GER,NED,832,-5000.0
GER,NED,833,5000.0
GER,NED,834,5000.0
GER,NED,835,4363.863797358499
GER,NED,836,5000.0
GER,NED,837,5000.0
GER,NED,838,5000.0
GER,NED,839,5000.0
GER,NED,840,5000.0
GER,NED,841,5000.0
GER,NED,842,5000.0
GER,NED,843,5000.0
GER,NED,844,5000.0
GER,NED,845,5000.0
GER,NED,846,5000.0
GER,NED,847,5000.0
GER,NED,848,5000.0
GER,NED,849,3671.9585721126987
GER,NED,850,-5000.0
GER,NED,851,-5000.0
GER,NED,852,-5000.0
GER,NED,853,-5000.0
GER,NED,854,-5000.0
GER,NED,855,-5000.0
GER,NED,856,-3565.0985879483997
GER,NED,857,5000.0
GER,NED,858,5000.0
GER,NED,859,5000.0
GER,NED,860,5000.0
GER,NED,861,5000.0
GER,NED,862,5000.0
GER,NED,863,5000.0
GER,NED,864,5000.0
GER,NED,865,5000.0
GER,NED,866,5000.0
GER,NED,867,5000.0
GER,NED,868,5000.0
GER,NED,869,5000.0
GER,NED,870,5000.0
GER,NED,871,5000.0
GER,NED,872,5000.0
GER,NED,873,-5000.0
GER,NED,874,-5000.0
GER,NED,875,-5000.0
GER,NED,876,-5000.0
GER,NED,877,-5000.0
GER,NED,878,-5000.0
GER,NED,879,-5000.0
GER,NED,880,-5000.0
GER,NED,881,5000.0
GER,NED,882,5000.0
GER,NED,883,5000.0
GER,NED,884,5000.0
GER,NED,885,5000.0
GER,NED,886,5000.0
GER,NED,887,5000.0
GER,NED,888,5000.0
GER,NED,889,5000.0
GER,NED,890,5000.0
GER,NED,891,5000.0
GER,NED,892,5000.0
GER,NED,893,5000.0
GER,NED,894,5000.0
GER,NED,895,5000.0
GER,NED,896,5000.0
GER,NED,897,-5000.0
GER,NED,898,-5000.0
GER,NED,899,-5000.0
GER,NED,900,-5000.0
GER,NED,901,-5000.0
GER,NED,902,-5000.0
GER,NED,903,2372.4230795188996
GER,NED,904,5000.0
GER,NED,905,5000.0
GER,NED,906,5000.0
GER,NED,907,5000.0
GER,NED,908,5000.0
GER,NED,909,5000.0
GER,NED,910,5000.0
GER,NED,911,5000.0
GER,NED,912,5000.0
GER,NED,913,5000.0
GER,NED,914,5000.0
GER,NED,915,5000.0
GER,NED,916,5000.0
GER,NED,917,5000.0
GER,NED,918,5000.0
GER,NED,919,5000.0
GER,NED,920,5000.0
GER,NED,921,-1146.1616776546034
GER,NED,922,-5000.0
GER,NED,923,-5000.0
GER,NED,924,-5000.0
GER,NED,925,-5000.0
GER,NED,926,-5000.0
GER,NED,927,-5000.0
GER,NED,928,-3484.3997977907
GER,NED,929,5000.0
GER,NED,930,5000.0
GER,NED,931,5000.0
GER,NED,932,5000.0
GER,NED,933,5000.0
GER,NED,934,5000.0
GER,NED,935,5000.0
GER,NED,936,5000.0
GER,NED,937,5000.0
GER,NED,938,5000.0
GER,NED,939,5000.0
GER,NED,940,5000.0
GER,NED,941,5000.0
GER,NED,942,5000.0
GER,NED,943,5000.0
GER,NED,944,5000.0
GER,NED,945,5000.0
GER,NED,946,2091.5674168686983
GER,NED,947,1307.5466386775006
GER,NED,948,-5000.0
GER,NED,949,-4490.494148856298
GER,NED,950,-1423.6488219458006
GER,NED,951,2182.5218225326007
GER,NED,952,5000.0
GER,NED,953,5000.0
GER,NED,954,5000.0
GER,NED,955,5000.0
GER,NED,956,5000.0
GER,NED,957,5000.0
GER,NED,958,5000.0
GER,NED,959,5000.0
GER,NED,960,5000.0
GER,NED,961,5000.0
GER,NED,962,5000.0
GER,NED,963,5000.0
GER,NED,964,5000.0
GER,NED,965,5000.0
GER,NED,966,5000.0
GER,NED,967,5000.0
GER,NED,968,5000.0
GER,NED,969,171.58852934179595
GER,NED,970,-4799.4508743508995
GER,NED,971,-2290.212272934903
GER,NED,972,-3951.6714854011007
GER,NED,973,2394.5923332982
GER,NED,974,5000.0
GER,NED,975,5000.0
GER,NED,976,5000.0
GER,NED,977,5000.0
GER,NED,978,5000.0
GER,NED,979,5000.0
GER,NED,980,5000.0
GER,NED,981,5000.0
GER,NED,982,5000.0
GER,NED,983,5000.0
GER,NED,984,5000.0
GER,NED,985,5000.0
GER,NED,986,5000.0
GER,NED,987,5000.0
GER,NED,988,5000.0
GER,NED,989,5000.0
GER,NED,990,5000.0
GER,NED,991,5000.0
GER,NED,992,4999.999999999991
GER,NED,993,5000.0
GER,NED,994,5000.0
GER,NED,995,5000.0
GER,NED,996,5000.0
GER,NED,997,5000.0
GER,NED,998,4004.139879754797
GER,NED,999,4912.7286483117
GER,NED,1000,5000.0
GER,NED,1001,5000.0
GER,NED,1002,5000.0
GER,NED,1003,5000.0
GER,NED,1004,5000.0
GER,NED,1005,5000.0
GER,NED,1006,5000.0
GER,NED,1007,5000.0
GER,NED,1008,5000.0
GER,NED,1009,5000.0
GER,NED,1010,5000.0
GER,NED,1011,5000.0
GER,NED,1012,5000.0
GER,NED,1013,5000.0
GER,NED,1014,5000.0
GER,NED,1015,5000.0
GER,NED,1016,5000.0
GER,NED,1017,5000.0
GER,NED,1018,-5000.0
GER,NED,1019,-5000.0
GER,NED,1020,-5000.0
GER,NED,1021,-5000.0
GER,NED,1022,-5000.0
GER,NED,1023,-5000.0
GER,NED,1024,-4501.8551128738
GER,NED,1025,5000.0
GER,NED,1026,5000.0
GER,NED,1027,5000.0
GER,NED,1028,5000.0
GER,NED,1029,5000.0
GER,NED,1030,5000.0
GER,NED,1031,5000.0
GER,NED,1032,5000.0
GER,NED,1033,5000.0
